Frequency(GHz),length of patch in mm,width of patch in mm,length of substrate in mm,width of Substrate in mm,Area of Slots(mm^2),Radius of Circular Slot(mm),S11(dB)
2.99000001,27,38,59,76,58.2656,4,-1.041205594
2.994999886,27,38,59,76,58.2656,4,-1.033551698
3,27,38,59,76,58.2656,4,-1.025834746
3.005000114,27,38,59,76,58.2656,4,-1.018157844
3.00999999,27,38,59,76,58.2656,4,-1.010632444
3.015000105,27,38,59,76,58.2656,4,-1.00335963
3.019999981,27,38,59,76,58.2656,4,-0.996439497
3.025000095,27,38,59,76,58.2656,4,-0.989967844
3.029999971,27,38,59,76,58.2656,4,-0.984025583
3.035000086,27,38,59,76,58.2656,4,-0.978688696
3.039999962,27,38,59,76,58.2656,4,-0.974017912
3.045000076,27,38,59,76,58.2656,4,-0.970067081
3.049999952,27,38,59,76,58.2656,4,-0.966870508
3.055000067,27,38,59,76,58.2656,4,-0.964451551
3.059999943,27,38,59,76,58.2656,4,-0.962819825
3.065000057,27,38,59,76,58.2656,4,-0.961969605
3.069999933,27,38,59,76,58.2656,4,-0.961882726
3.075000048,27,38,59,76,58.2656,4,-0.962524218
3.079999924,27,38,59,76,58.2656,4,-0.963849963
3.085000038,27,38,59,76,58.2656,4,-0.965802621
3.089999914,27,38,59,76,58.2656,4,-0.968312165
3.095000029,27,38,59,76,58.2656,4,-0.971303241
3.099999905,27,38,59,76,58.2656,4,-0.974689904
3.105000019,27,38,59,76,58.2656,4,-0.978378113
3.109999895,27,38,59,76,58.2656,4,-0.982277052
3.11500001,27,38,59,76,58.2656,4,-0.986285516
3.119999886,27,38,59,76,58.2656,4,-0.990307764
3.125,27,38,59,76,58.2656,4,-0.99424894
3.130000114,27,38,59,76,58.2656,4,-0.998015613
3.13499999,27,38,59,76,58.2656,4,-1.001525846
3.140000105,27,38,59,76,58.2656,4,-1.004701285
3.144999981,27,38,59,76,58.2656,4,-1.007475918
3.150000095,27,38,59,76,58.2656,4,-1.009795006
3.154999971,27,38,59,76,58.2656,4,-1.011615365
3.160000086,27,38,59,76,58.2656,4,-1.012910225
3.164999962,27,38,59,76,58.2656,4,-1.013664431
3.170000076,27,38,59,76,58.2656,4,-1.013881691
3.174999952,27,38,59,76,58.2656,4,-1.013576068
3.180000067,27,38,59,76,58.2656,4,-1.012782723
3.184999943,27,38,59,76,58.2656,4,-1.011544545
3.190000057,27,38,59,76,58.2656,4,-1.009924766
3.194999933,27,38,59,76,58.2656,4,-1.007990998
3.200000048,27,38,59,76,58.2656,4,-1.005826377
3.204999924,27,38,59,76,58.2656,4,-1.003521405
3.210000038,27,38,59,76,58.2656,4,-1.001171317
3.214999914,27,38,59,76,58.2656,4,-0.998878418
3.220000029,27,38,59,76,58.2656,4,-0.996745514
3.224999905,27,38,59,76,58.2656,4,-0.994877137
3.230000019,27,38,59,76,58.2656,4,-0.993372415
3.234999895,27,38,59,76,58.2656,4,-0.992327778
3.24000001,27,38,59,76,58.2656,4,-0.991831887
3.244999886,27,38,59,76,58.2656,4,-0.991966998
3.25,27,38,59,76,58.2656,4,-0.992801753
3.255000114,27,38,59,76,58.2656,4,-0.994394942
3.25999999,27,38,59,76,58.2656,4,-0.996789457
3.265000105,27,38,59,76,58.2656,4,-1.000016947
3.269999981,27,38,59,76,58.2656,4,-1.004092546
3.275000095,27,38,59,76,58.2656,4,-1.00901559
3.279999971,27,38,59,76,58.2656,4,-1.014770442
3.285000086,27,38,59,76,58.2656,4,-1.021325576
3.289999962,27,38,59,76,58.2656,4,-1.02863637
3.295000076,27,38,59,76,58.2656,4,-1.03664194
3.299999952,27,38,59,76,58.2656,4,-1.045273007
3.305000067,27,38,59,76,58.2656,4,-1.054444711
3.309999943,27,38,59,76,58.2656,4,-1.06406797
3.315000057,27,38,59,76,58.2656,4,-1.07404399
3.319999933,27,38,59,76,58.2656,4,-1.084272401
3.325000048,27,38,59,76,58.2656,4,-1.094648415
3.329999924,27,38,59,76,58.2656,4,-1.10507218
3.335000038,27,38,59,76,58.2656,4,-1.115441852
3.339999914,27,38,59,76,58.2656,4,-1.1256677
3.345000029,27,38,59,76,58.2656,4,-1.135667925
3.349999905,27,38,59,76,58.2656,4,-1.145372737
3.355000019,27,38,59,76,58.2656,4,-1.154724123
3.359999895,27,38,59,76,58.2656,4,-1.163681375
3.36500001,27,38,59,76,58.2656,4,-1.172225247
3.369999886,27,38,59,76,58.2656,4,-1.180352913
3.375,27,38,59,76,58.2656,4,-1.188078819
3.380000114,27,38,59,76,58.2656,4,-1.195441133
3.38499999,27,38,59,76,58.2656,4,-1.202497753
3.390000105,27,38,59,76,58.2656,4,-1.209324735
3.394999981,27,38,59,76,58.2656,4,-1.21601801
3.400000095,27,38,59,76,58.2656,4,-1.222686032
3.404999971,27,38,59,76,58.2656,4,-1.229455877
3.410000086,27,38,59,76,58.2656,4,-1.236463249
3.414999962,27,38,59,76,58.2656,4,-1.243858303
3.420000076,27,38,59,76,58.2656,4,-1.251789244
3.424999952,27,38,59,76,58.2656,4,-1.260417149
3.430000067,27,38,59,76,58.2656,4,-1.269897607
3.434999943,27,38,59,76,58.2656,4,-1.280384585
3.440000057,27,38,59,76,58.2656,4,-1.292025011
3.444999933,27,38,59,76,58.2656,4,-1.304959746
3.450000048,27,38,59,76,58.2656,4,-1.319317197
3.454999924,27,38,59,76,58.2656,4,-1.335213833
3.460000038,27,38,59,76,58.2656,4,-1.352748858
3.464999914,27,38,59,76,58.2656,4,-1.372006931
3.470000029,27,38,59,76,58.2656,4,-1.393050479
3.474999905,27,38,59,76,58.2656,4,-1.415924817
3.480000019,27,38,59,76,58.2656,4,-1.440658916
3.484999895,27,38,59,76,58.2656,4,-1.467258809
3.49000001,27,38,59,76,58.2656,4,-1.495714584
3.494999886,27,38,59,76,58.2656,4,-1.525997073
3.5,27,38,59,76,58.2656,4,-1.558063037
3.505000114,27,38,59,76,58.2656,4,-1.591855988
3.50999999,27,38,59,76,58.2656,4,-1.627307595
3.515000105,27,38,59,76,58.2656,4,-1.664350164
3.519999981,27,38,59,76,58.2656,4,-1.702901098
3.525000095,27,38,59,76,58.2656,4,-1.742890979
3.529999971,27,38,59,76,58.2656,4,-1.784248797
3.535000086,27,38,59,76,58.2656,4,-1.826915922
3.539999962,27,38,59,76,58.2656,4,-1.870850309
3.545000076,27,38,59,76,58.2656,4,-1.916030035
3.549999952,27,38,59,76,58.2656,4,-1.962459977
3.555000067,27,38,59,76,58.2656,4,-2.010177988
3.559999943,27,38,59,76,58.2656,4,-2.059252297
3.565000057,27,38,59,76,58.2656,4,-2.109793048
3.569999933,27,38,59,76,58.2656,4,-2.161956106
3.575000048,27,38,59,76,58.2656,4,-2.215941073
3.579999924,27,38,59,76,58.2656,4,-2.271997881
3.585000038,27,38,59,76,58.2656,4,-2.330428651
3.589999914,27,38,59,76,58.2656,4,-2.391581575
3.595000029,27,38,59,76,58.2656,4,-2.45586618
3.599999905,27,38,59,76,58.2656,4,-2.523739832
3.605000019,27,38,59,76,58.2656,4,-2.595710054
3.609999895,27,38,59,76,58.2656,4,-2.672341829
3.61500001,27,38,59,76,58.2656,4,-2.75424732
3.619999886,27,38,59,76,58.2656,4,-2.84208898
3.625,27,38,59,76,58.2656,4,-2.936577806
3.630000114,27,38,59,76,58.2656,4,-3.038476154
3.63499999,27,38,59,76,58.2656,4,-3.148592153
3.640000105,27,38,59,76,58.2656,4,-3.267785928
3.644999981,27,38,59,76,58.2656,4,-3.396967222
3.650000095,27,38,59,76,58.2656,4,-3.537101877
3.654999971,27,38,59,76,58.2656,4,-3.689214712
3.660000086,27,38,59,76,58.2656,4,-3.854392088
3.664999962,27,38,59,76,58.2656,4,-4.033799193
3.670000076,27,38,59,76,58.2656,4,-4.22867987
3.674999952,27,38,59,76,58.2656,4,-4.440373197
3.680000067,27,38,59,76,58.2656,4,-4.670335045
3.684999943,27,38,59,76,58.2656,4,-4.920150764
3.690000057,27,38,59,76,58.2656,4,-5.191568121
3.694999933,27,38,59,76,58.2656,4,-5.486527169
3.700000048,27,38,59,76,58.2656,4,-5.807193802
3.704999924,27,38,59,76,58.2656,4,-6.156028557
3.710000038,27,38,59,76,58.2656,4,-6.535839505
3.714999914,27,38,59,76,58.2656,4,-6.94987201
3.720000029,27,38,59,76,58.2656,4,-7.401927711
3.724999905,27,38,59,76,58.2656,4,-7.896510971
3.730000019,27,38,59,76,58.2656,4,-8.439031885
3.734999895,27,38,59,76,58.2656,4,-9.036097948
3.74000001,27,38,59,76,58.2656,4,-9.695905015
3.744999886,27,38,59,76,58.2656,4,-10.42882189
3.75,27,38,59,76,58.2656,4,-11.24824893
3.755000114,27,38,59,76,58.2656,4,-12.17194868
3.75999999,27,38,59,76,58.2656,4,-13.22417455
3.765000105,27,38,59,76,58.2656,4,-14.43923894
3.769999981,27,38,59,76,58.2656,4,-15.86786574
3.775000095,27,38,59,76,58.2656,4,-17.58916371
3.779999971,27,38,59,76,58.2656,4,-19.7348981
3.785000086,27,38,59,76,58.2656,4,-22.54015126
3.789999962,27,38,59,76,58.2656,4,-26.41232161
3.795000076,27,38,59,76,58.2656,4,-31.04081226
3.799999952,27,38,59,76,58.2656,4,-29.66026985
3.805000067,27,38,59,76,58.2656,4,-25.01302987
3.809999943,27,38,59,76,58.2656,4,-21.56801798
3.815000057,27,38,59,76,58.2656,4,-19.03669917
3.819999933,27,38,59,76,58.2656,4,-17.07055653
3.825000048,27,38,59,76,58.2656,4,-15.47675389
3.829999924,27,38,59,76,58.2656,4,-14.14486993
3.835000038,27,38,59,76,58.2656,4,-13.00705325
3.839999914,27,38,59,76,58.2656,4,-12.0189492
3.845000029,27,38,59,76,58.2656,4,-11.1500716
3.849999905,27,38,59,76,58.2656,4,-10.37859118
3.855000019,27,38,59,76,58.2656,4,-9.688347584
3.859999895,27,38,59,76,58.2656,4,-9.067031914
3.86500001,27,38,59,76,58.2656,4,-8.505044182
3.869999886,27,38,59,76,58.2656,4,-7.994743823
3.875,27,38,59,76,58.2656,4,-7.529931205
3.880000114,27,38,59,76,58.2656,4,-7.105495055
3.88499999,27,38,59,76,58.2656,4,-6.717165509
3.890000105,27,38,59,76,58.2656,4,-6.361316031
3.894999981,27,38,59,76,58.2656,4,-6.034835928
3.900000095,27,38,59,76,58.2656,4,-5.735024895
3.904999971,27,38,59,76,58.2656,4,-5.459509592
3.910000086,27,38,59,76,58.2656,4,-5.206185115
3.914999962,27,38,59,76,58.2656,4,-4.973168452
3.920000076,27,38,59,76,58.2656,4,-4.758757153
3.924999952,27,38,59,76,58.2656,4,-4.561399952
3.930000067,27,38,59,76,58.2656,4,-4.379677757
3.934999943,27,38,59,76,58.2656,4,-4.212279812
3.940000057,27,38,59,76,58.2656,4,-4.05798979
3.944999933,27,38,59,76,58.2656,4,-3.915676949
3.950000048,27,38,59,76,58.2656,4,-3.78428267
3.954999924,27,38,59,76,58.2656,4,-3.662821099
3.960000038,27,38,59,76,58.2656,4,-3.550362495
3.964999914,27,38,59,76,58.2656,4,-3.446047098
3.970000029,27,38,59,76,58.2656,4,-3.34906281
3.974999905,27,38,59,76,58.2656,4,-3.258661885
3.980000019,27,38,59,76,58.2656,4,-3.174149622
3.984999895,27,38,59,76,58.2656,4,-3.094887362
3.99000001,27,38,59,76,58.2656,4,-3.020295278
3.994999886,27,38,59,76,58.2656,4,-2.949847314
4,27,38,59,76,58.2656,4,-2.883076285
4.005000114,27,38,59,76,58.2656,4,-2.819570374
4.010000229,27,38,59,76,58.2656,4,-2.758973425
4.014999866,27,38,59,76,58.2656,4,-2.700984958
4.019999981,27,38,59,76,58.2656,4,-2.645355188
4.025000095,27,38,59,76,58.2656,4,-2.59188726
4.03000021,27,38,59,76,58.2656,4,-2.540429136
4.034999847,27,38,59,76,58.2656,4,-2.490871629
4.039999962,27,38,59,76,58.2656,4,-2.443146767
4.045000076,27,38,59,76,58.2656,4,-2.397220147
4.050000191,27,38,59,76,58.2656,4,-2.353083967
4.054999828,27,38,59,76,58.2656,4,-2.310756862
4.059999943,27,38,59,76,58.2656,4,-2.270276778
4.065000057,27,38,59,76,58.2656,4,-2.231692185
4.070000172,27,38,59,76,58.2656,4,-2.195062267
4.074999809,27,38,59,76,58.2656,4,-2.160443469
4.079999924,27,38,59,76,58.2656,4,-2.12789785
4.085000038,27,38,59,76,58.2656,4,-2.097475888
4.090000153,27,38,59,76,58.2656,4,-2.069222428
4.09499979,27,38,59,76,58.2656,4,-2.043165336
4.099999905,27,38,59,76,58.2656,4,-2.019319681
4.105000019,27,38,59,76,58.2656,4,-1.997685327
4.110000134,27,38,59,76,58.2656,4,-1.978237299
4.114999771,27,38,59,76,58.2656,4,-1.960934841
4.119999886,27,38,59,76,58.2656,4,-1.945718109
4.125,27,38,59,76,58.2656,4,-1.932506506
4.130000114,27,38,59,76,58.2656,4,-1.921201649
4.135000229,27,38,59,76,58.2656,4,-1.91168806
4.139999866,27,38,59,76,58.2656,4,-1.903835488
4.144999981,27,38,59,76,58.2656,4,-1.897502089
4.150000095,27,38,59,76,58.2656,4,-1.892537605
4.15500021,27,38,59,76,58.2656,4,-1.888785685
4.159999847,27,38,59,76,58.2656,4,-1.886086891
4.164999962,27,38,59,76,58.2656,4,-1.884284409
4.170000076,27,38,59,76,58.2656,4,-1.883223329
4.175000191,27,38,59,76,58.2656,4,-1.882763217
4.179999828,27,38,59,76,58.2656,4,-1.882769753
4.184999943,27,38,59,76,58.2656,4,-1.88313019
4.190000057,27,38,59,76,58.2656,4,-1.883747223
4.195000172,27,38,59,76,58.2656,4,-1.88454461
4.199999809,27,38,59,76,58.2656,4,-1.885471292
4.204999924,27,38,59,76,58.2656,4,-1.886500495
4.210000038,27,38,59,76,58.2656,4,-1.887629542
4.215000153,27,38,59,76,58.2656,4,-1.888883616
4.21999979,27,38,59,76,58.2656,4,-1.890308632
4.224999905,27,38,59,76,58.2656,4,-1.891981137
4.230000019,27,38,59,76,58.2656,4,-1.893992086
4.235000134,27,38,59,76,58.2656,4,-1.896456021
4.239999771,27,38,59,76,58.2656,4,-1.899503554
4.244999886,27,38,59,76,58.2656,4,-1.903277382
4.25,27,38,59,76,58.2656,4,-1.907931475
4.255000114,27,38,59,76,58.2656,4,-1.913624195
4.260000229,27,38,59,76,58.2656,4,-1.920517389
4.264999866,27,38,59,76,58.2656,4,-1.928768829
4.269999981,27,38,59,76,58.2656,4,-1.938535639
4.275000095,27,38,59,76,58.2656,4,-1.949965344
4.28000021,27,38,59,76,58.2656,4,-1.963189093
4.284999847,27,38,59,76,58.2656,4,-1.97832982
4.289999962,27,38,59,76,58.2656,4,-1.995491137
4.295000076,27,38,59,76,58.2656,4,-2.014760188
4.300000191,27,38,59,76,58.2656,4,-2.036204499
4.304999828,27,38,59,76,58.2656,4,-2.059871775
4.309999943,27,38,59,76,58.2656,4,-2.085789109
4.315000057,27,38,59,76,58.2656,4,-2.113967008
4.320000172,27,38,59,76,58.2656,4,-2.144392902
4.324999809,27,38,59,76,58.2656,4,-2.177043214
4.329999924,27,38,59,76,58.2656,4,-2.211881093
4.335000038,27,38,59,76,58.2656,4,-2.248853839
4.340000153,27,38,59,76,58.2656,4,-2.287906487
4.34499979,27,38,59,76,58.2656,4,-2.328979055
4.349999905,27,38,59,76,58.2656,4,-2.372014812
4.355000019,27,38,59,76,58.2656,4,-2.416961279
4.360000134,27,38,59,76,58.2656,4,-2.463780679
4.364999771,27,38,59,76,58.2656,4,-2.512451717
4.369999886,27,38,59,76,58.2656,4,-2.562973561
4.375,27,38,59,76,58.2656,4,-2.615377158
4.380000114,27,38,59,76,58.2656,4,-2.669724097
4.385000229,27,38,59,76,58.2656,4,-2.726114496
4.389999866,27,38,59,76,58.2656,4,-2.784692468
4.394999981,27,38,59,76,58.2656,4,-2.845645846
4.400000095,27,38,59,76,58.2656,4,-2.909214012
4.40500021,27,38,59,76,58.2656,4,-2.9756896
4.409999847,27,38,59,76,58.2656,4,-3.045416264
4.414999962,27,38,59,76,58.2656,4,-3.118796133
4.420000076,27,38,59,76,58.2656,4,-3.196285528
4.425000191,27,38,59,76,58.2656,4,-3.278400362
4.429999828,27,38,59,76,58.2656,4,-3.365709794
4.434999943,27,38,59,76,58.2656,4,-3.458839786
4.440000057,27,38,59,76,58.2656,4,-3.558474537
4.445000172,27,38,59,76,58.2656,4,-3.665349499
4.449999809,27,38,59,76,58.2656,4,-3.780258885
4.454999924,27,38,59,76,58.2656,4,-3.904050576
4.460000038,27,38,59,76,58.2656,4,-4.037633923
4.465000153,27,38,59,76,58.2656,4,-4.181973879
4.46999979,27,38,59,76,58.2656,4,-4.338102821
4.474999905,27,38,59,76,58.2656,4,-4.507121084
